,Unemployment_Rate,Tertiary_Enrolment
count,16.0,16.0
mean,26.868125,19.02266375521946
std,3.619670240505341,3.9151928112347427
min,23.067,11.8450698852539
25%,24.2865,17.38466766228965
50%,25.8425,18.9812964930907
75%,28.65525,22.3452323789526
max,34.007,23.7271036201865
Skewness,0.9022681527114912,-0.6470895650788225
Kurtosis,-0.3298697699084818,-0.7140952754464838
